Susni Sag,LEAFY VEGETABLES,86.9,3.7,1.4,2.1,1.3,4.6,46,53,91,0,0,0,0,0,0 ,0,0,0
Tamarind Leaves Tender,LEAFY VEGETABLES,70.5,5.8,2.1,1.5,1.9,18.2,115,101,140,0.3,250,0.24,0.17,4.1,0 ,0,0,3
Turnip Greens,LEAFY VEGETABLES,81.9,4,1.5,2.2,1,9.4,67,710,60,28.4,9396,0.31,0.57,5.4,0 ,0,0,180
Arrow Root Flour,ROOTS AND TUBERS,16.5,0.2,0.1,0.1,0,83.1,334,10,20,1,0,0,0,0,0 ,0,0,0
Banana Rhizome,ROOTS AND TUBERS,85.1,0.4,0.2,1.4,1.1,11.8,51,25,10,1,16,0,0.03,0.2,0 ,0,0,1
Beet Root,ROOTS AND TUBERS,87.7,1.7,0.1,0.8,0.9,8.8,43,18.3,55,1.19,0,0.04,0.09,0.4,0 ,0,0,10
Carrot,ROOTS AND TUBERS,86,0.9,0.2,1.1,1.2,10.6,48,80,530,1.03,1890,0.04,0.02,0.6,0 ,5,15,3
Colocasia,ROOTS AND TUBERS,73.1,3,0.1,1.7,1,21.1,97,40,140,0.42,24,0.09,0.03,0.4,0 ,16,54,0
Khamalu,ROOTS AND TUBERS,79.6,1.3,0.1,0.8,0.1,18.1,79,16,31,0.5,0,0,0,0,0 ,0,0,0
Mango Ginger,ROOTS AND TUBERS,85,1.1,0.7,1.4,1.3,10.5,53,25,90,2.6,20,0.01,0.03,0,0 ,0,0,1
Onion Big,ROOTS AND TUBERS,86.6,1.2,0.1,0.4,0.6,11.1,50,46.9,50,0.6,0,0.08,0.01,0.4,0 ,1.5,6,11
Onion Small,ROOTS AND TUBERS,84.3,1.8,0.1,0.6,0.6,12.6,59,40,60,1.2,15,0.08,0.02,0.5,0 ,0,0,2
Parsnip,ROOTS AND TUBERS,72.4,1.3,0.3,1.1,1.7,23.2,101,50,40,0.5,18,0.06,0,0.4,0 ,0,0,16
Potato,ROOTS AND TUBERS,74.7,1.6,0.1,0.6,0.4,22.6,97,10,40,0.48,24,0.1,0.01,1.2,0 ,3,7,17
Radish Pink,ROOTS AND TUBERS,90.8,0.6,0.3,0.9,0.6,6.8,32,50,20,0.37,3,0.06,0.02,0.4,0 ,0,0,17
Radish Rat0tailed,ROOTS AND TUBERS,92.3,1.3,0.3,0.7,1.1,4.3,25,78,24,0,0,0,0,0,0 ,0,0,0
Radish Table,ROOTS AND TUBERS,94.9,0.5,0.1,0.7,0.6,3.2,16,20,20,1,4,0.02,0.03,1.4,0 ,0,0,21
Radish White,ROOTS AND TUBERS,94.4,0.7,0.1,0.6,0.8,3.4,17,35,22,0.4,3,0.06,0.02,0.5,0 ,0,0,15
Sweet Potato,ROOTS AND TUBERS,68.5,1.2,0.3,1,0.8,28.2,120,46,50,0.21,6,0.08,0.04,0.7,0 ,0,0,24
Tapioca,ROOTS AND TUBERS,59.4,0.7,0.2,1,0.6,38.1,157,50,40,0.9,0,0.05,0.1,0.3,0 ,0,0,25
Tapioca Chips Drid,ROOTS AND TUBERS,12,1.3,0.3,2,1.8,82.6,338,91,70,3.6,0,0.23,0.1,1.4,0 ,0,0,0
Turnip,ROOTS AND TUBERS,91.6,0.5,0.2,0.6,0.9,6.2,29,30,40,0.4,0,0.04,0.04,0.5,0 ,0,0,43
Yam Elephant,ROOTS AND TUBERS,78.7,1.2,0.1,0.8,0.8,18.4,79,50,34,0.6,260,0.06,0.07,0.7,0 ,0,0,0
Yam Ordinary,ROOTS AND TUBERS,69.9,1.4,0.1,1.6,1,26,111,35,20,1.19,78,0.07,0,0.7,0 ,0.9,17.5,0
Yam Wild,ROOTS AND TUBERS,70.4,2.5,0.3,1.4,1,24.4,110,20,74,1,565,0.19,0.47,1.2,0 ,0,0,1
Chowchowmarrow,OTHER VEGETABLES,92.5,0.7,0.1,0.4,0.6,5.7,27,140,30,0.6,0,0,0.04,0.4,0 ,0,0,4
Ash Gourd,OTHER VEGETABLES,96.5,0.4,0.1,0.3,0.8,1.9,10,30,20,0.8,0,0.06,0.01,0.4,0 ,0,0,1
Beans Scarlet Runner,OTHER VEGETABLES,58.3,7.4,1,1.6,1.9,29.8,158,50,160,2.6,34,0.34,0.19,0,0 ,0,0,27
Brinjal,OTHER VEGETABLES,92.7,1.4,0.3,0.3,1.3,4,24,18,47,0.38,74,0.04,0.11,0.9,0,0 ,5,34
Broad Beans,OTHER VEGETABLES,85.4,4.5,0.1,0.8,2,7.2,48,50,64,1.4,9,0.08,0,0,0.8,0 ,0,0
Cauliflower,OTHER VEGETABLES,90.8,2.6,0.4,1,1.2,4,30,33,57,1.23,30,0.04,0.1,1,0 ,0,0,56
Cluster Beans,OTHER VEGETABLES,81,3.2,0.4,1.4,3.2,10.8,16,130,57,1.08,198,0.09,0.03,0.6,0 ,50,144,49
Colocasia Stem,OTHER VEGETABLES,94,0.3,0.3,1.2,0.6,3.6,18,60,20,0.5,104,0.07,0.07,0.1,0 ,0,0,3
Cow Pea Pods,OTHER VEGETABLES,85.3,3.5,0.2,0.9,2,8.1,48,72,59,2.5,564,0.07,0.09,0.9,0 ,0,0,14
Cucumber,OTHER VEGETABLES,96.3,0.4,0.1,0.3,0.4,2.5,13,10,25,0.6,0,0.03,0,0.2,0 ,0,0,0
Double Beans,OTHER VEGETABLES,73.8,8.3,0.3,1,4.3,12.3,85,40,140,2.3,0,0,0,0,0 ,0,0,22
Drumstick,OTHER VEGETABLES,86.9,2.5,0.1,2,4.8,3.7,26,30,110,0.18,110,0.05,0.07,0.2,0 ,0,0,120
Bitter Gourd,OTHER VEGETABLES,92.4,1.6,0.2,0.8,0.8,4.2,25,20,70,0.61,126,0.07,0.09,0.5,0 ,0,0,88
Bottle Gourd,OTHER VEGETABLES,96.1,0.2,0.1,0.5,0.6,2.5,12,20,10,0.46,0,0.03,0.01,0.2,0 ,0,0,0
Drumstick Flowers,OTHER VEGETABLES,85.9,3.6,0.8,1.3,1.3,7.1,50,51,90,0,0,0,0,0,0 ,0,0,0
Figs Red Ficus Cunia,OTHER VEGETABLES,79.4,1.2,0.6,1.6,6.4,10.8,53,187,39,0,0,0,0,0,0 ,0,0,0
French Beans,OTHER VEGETABLES,91.4,1.7,0.1,0.5,1.8,4.5,26,50,28,0.61,132,0.08,0.06,0.3,0 ,15.5,45.5,24
Ghosala,OTHER VEGETABLES,93.2,1.2,0.2,0.5,2,2.9,18,36,19,1.1,120,0.02,0.06,0.4,0 ,0,0,0
Giant Chillies Capsicum,OTHER VEGETABLES,92.4,1.3,0.3,0.7,1,4.3,24,10,30,0.567,427,0.55,0.05,0.1,0 ,0,0,137
Jack Fruit Tender,OTHER VEGETABLES,84,2.6,0.3,0.9,2.8,9.4,51,30,40,1.7,0,0.05,0.04,0.2,0 ,0,0,14
Kankoda,OTHER VEGETABLES,84.1,3.1,1,1.1,3,7.7,52,33,42,4.6,1620,0.05,0.18,0.6,0 ,0,0,0
Karonda Fresh,OTHER VEGETABLES,91,1.1,2.9,0.6,1.5,2.9,42,21,28,0,0,0,0,0,0 ,0,0,0
Karonda Dry,OTHER VEGETABLES,18.2,2.3,9.6,2.8,0,67.1,364,160,60,39.1,0,0,0,0,0 ,0,0,0
Kheksa,OTHER VEGETABLES,90.4,0.6,0.1,0.9,1.6,6.4,29,27,38,0,0,0,0,0,0 ,0,0,0
Kovai,OTHER VEGETABLES,93.5,1.2,0.1,0.5,1.6,3.1,18,40,30,0.38,156,0.07,0.08,0.7,0 ,18,59,15
Knolkhol,OTHER VEGETABLES,92.7,1.1,0.2,0.7,1.5,3.8,21,20,35,1.54,21,0.05,0.09,0.5,0 ,0,0,85
Ladies Fingers,OTHER VEGETABLES,89.6,1.9,0.2,0.7,1.2,6.4,35,66,56,0.35,52,0.07,0.1,0.6,0 ,25.3,105.1,13
Lakuch Raw,OTHER VEGETABLES,89.4,1.6,1.2,1.1,2.8,13.9,73,67,25,0,0,0,0,0,0 ,0,0,0
Leeks,OTHER VEGETABLES,78.9,1.8,0.1,0.7,1.3,17.2,77,50,70,2.3,18,0.23,0,0,0 ,0,0,11
Lotus Stem Dry,OTHER VEGETABLES,9.5,4.1,1.3,8.7,25,51.4,234,405,128,60.6,0,0.82,1.21,1.9,0 ,0,0,3
Mango Green,OTHER VEGETABLES,87.5,0.7,0.1,0.4,1.2,10.1,44,10,19,0.33,90,0.04,0.01,0.2,0 ,0,0,3
